Flow ID,Vessel,Vessel IMO,Load Country,Load Port,Departure Date,Discharge Country,Discharge Port,Arrival Date,Product,Grade,Volume,Unit,Load Country/Sub-Country,Load Region,Load State,Load Berth,Load Zone,Load Date From,Discharge Country/Sub-Country,Discharge Region,Discharge State,Discharge Berth,Discharge Zone,Arrival Date To,Buyer/Receiver,Issuer,Sender,Awardee,Consignee,Charterer,Buy/Sell,Price,Price Basis,Vessel Ric,Freight,Benchmark,Closing Date,Validity Date,Contract Basis,Terms,Import/Export,Status,Source Grade,Country of Origin,Last Updated
2806251,SAMSARA,9792228,Iraq,Basrah,19.07.17,Greece,Agioi Theodoroi,01.08.17,Crude Oil,Basrah Heavy,965753.27,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal - SPM No. 2,Middle East,16.07.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",,,,,,,AVIN OIL,,,,C}KX7309858979,w22,,,,,,,Vessel Discharged,,Iraq,02.08.17
2831012,VALTAMED,9292840,Turkey,Ceyhan,19.07.17,Greece,Agioi Theodoroi,31.07.17,Crude Oil,Kirkuk,957441.61,BARRELS,Turkey,"Europe, Middle East, Africa",,Botas Ceyhan Oil Terminal North Jetty 1,"Mediterranean, North Africa",18.07.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",01.08.17,,,,,,,,,,C}KS7309487070,,,,,,,,Vessel Discharged,,Iraq,01.08.17
2826042,KRITI SAMARIA,9329409,Iran,Kharg Island,12.07.17,Greece,Agioi Theodoroi,29.07.17,Crude Oil,Iranian Heavy,722270.37,BARRELS,Iran,"Europe, Middle East, Africa",,Kharg Island East Pier- 9,Middle East,10.07.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",30.07.17,,,,,,,,,,C}KA7309490219,,,,,,,,Vessel Discharged,,Iran,03.08.17
2821290,TONOS,9228655,Iraq,Basrah,04.07.17,Greece,Agioi Theodoroi,19.07.17,Crude Oil,Basrah Light,931439.87,BARRELS,Iraq,"Europe, Middle East, Africa",,,Middle East,03.07.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",19.07.17,,,,,,PETROBRAS,,,,C}KS7309482154,$238k,,,,,,,Vessel Discharged,,Iraq,22.07.17
2783963,EPISKOPI,9205067,Iran,Kharg Island,18.06.17,Greece,Agioi Theodoroi,10.07.17,Crude Oil,Iranian Light/Heavy,514500.00,BARRELS,Iran,"Europe, Middle East, Africa",,Kharg Island East Pier- 7,Middle East,16.06.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",10.07.17,,,,,,TUPRAS,,,,C}KS7309480455,,,,,,,,Vessel Discharged,,Iran,10.07.17
2808556,PHOENIX BEACON,9568172,Russian Federation,Novorossiysk,02.07.17,Greece,Agioi Theodoroi,07.07.17,Crude Oil,Urals,580305.35,BARRELS,Krasnodar,"Europe, Middle East, Africa",Southern Federal District,Novorossiysk-Sheskaris Oil Terminal- Berth 1A,"Russia, FSU",01.07.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",08.07.17,,,,,,VITOL,,,,C}KA7309510355,w90,,,,,,,Vessel Discharged,,Russian Federation,09.07.17
2806941,KRITI ISLAND,9185528,Egypt,Sidi Kerir,04.07.17,Greece,Agioi Theodoroi,06.07.17,Crude Oil,Crude Oil,943800.00,BARRELS,Egypt,"Europe, Middle East, Africa",,SBM 2 (Sidi Kerir),"Mediterranean, North Africa",03.07.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",06.07.17,,,,,,CNR,,,,C}KS7309479012,,,,,,,,Vessel Discharged,,Egypt,07.07.17
2806938,KRITI BREEZE,9116943,Egypt,Sidi Kerir,26.06.17,Greece,Agioi Theodoroi,28.06.17,Crude Oil,Crude Oil,943800.00,BARRELS,Egypt,"Europe, Middle East, Africa",,SBM 2 (Sidi Kerir),"Mediterranean, North Africa",25.06.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",29.06.17,,,,,,AVIN OIL,,,,C}KS7309473863,,,,,,,,Vessel Discharged,,,30.06.17
2796782,KRITI BREEZE,9116943,Egypt,Sidi Kerir,16.06.17,Greece,Agioi Theodoroi,18.06.17,Crude Oil,Crude Oil,943800.00,BARRELS,Egypt,"Europe, Middle East, Africa",,SBM 6 (Sidi Kerir),"Mediterranean, North Africa",16.06.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",20.06.17,,,,,,AVIN OIL,,,,C}KS7309473863,,,,,,,,Vessel Discharged,,,22.06.17
2792509,VALTAMED,9292840,Turkey,Ceyhan,07.06.17,Greece,Agioi Theodoroi,10.06.17,Crude Oil,Kirkuk,957441.61,BARRELS,Turkey,"Europe, Middle East, Africa",,Botas Ceyhan Oil Terminal North Jetty 2,"Mediterranean, North Africa",06.06.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",10.06.17,,,,,,,,,,C}KS7309487070,,,,,,,,Vessel Discharged,,Iraq,11.06.17
